,1,2,3,4,5,6,7,Total
KEPAHIANG,0.863636,0.000000,0.009091,0.072727,0.000000,0.009091,0.045455,110
KEPULAUAN ANAMBAS,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36
KEPULAUAN ARU,0.899160,0.000000,0.058824,0.033613,0.000000,0.008403,0.000000,119
KEPULAUAN MENTAWAI,0.860465,0.000000,0.116279,0.000000,0.000000,0.023256,0.000000,43
KEPULAUAN MERANTI,0.931507,0.000000,0.027397,0.027397,0.000000,0.013699,0.000000,73
KEPULAUAN SANGIHE,0.706587,0.000000,0.077844,0.071856,0.000000,0.143713,0.000000,167
KEPULAUAN SERIBU,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6
KEPULAUAN SULA,0.939850,0.000000,0.037594,0.022556,0.000000,0.000000,0.000000,133
KEPULAUAN TALAUD,0.934641,0.000000,0.000000,0.058824,0.000000,0.006536,0.000000,153
KEPULAUAN YAPEN,0.954955,0.000000,0.027027,0.018018,0.000000,0.000000,0.000000,111
KERINCI,0.961538,0.000000,0.038462,0.000000,0.000000,0.000000,0.000000,208
KETAPANG,0.931727,0.000000,0.040161,0.008032,0.000000,0.020080,0.000000,249
KLATEN,0.960100,0.000000,0.012469,0.017456,0.000000,0.009975,0.000000,401
KLUNGKUNG,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59
KOLAKA,0.976744,0.000000,0.009302,0.009302,0.000000,0.000000,0.004651,215
KOLAKA UTARA,0.924812,0.000000,0.015038,0.037594,0.000000,0.022556,0.000000,133
KONAWE,0.953771,0.000000,0.009732,0.014599,0.000000,0.021898,0.000000,411
KONAWE SELATAN,0.926027,0.005479,0.019178,0.021918,0.000000,0.021918,0.005479,365
KONAWE UTARA,0.883562,0.000000,0.082192,0.034247,0.000000,0.000000,0.000000,146
KOTA BARU,0.721393,0.019900,0.074627,0.109453,0.000000,0.069652,0.004975,201
KOTAMOBAGU,0.484848,0.000000,0.151515,0.030303,0.000000,0.333333,0.000000,33
KOTAWARINGIN BARAT,0.989362,0.000000,0.000000,0.010638,0.000000,0.000000,0.000000,94
KOTAWARINGIN TIMUR,0.960000,0.000000,0.011429,0.011429,0.000000,0.017143,0.000000,175
KUANTAN SINGINGI,0.889952,0.000000,0.071770,0.009569,0.000000,0.028708,0.000000,209
KUBU RAYA,0.944954,0.000000,0.000000,0.018349,0.000000,0.036697,0.000000,109
KUDUS,0.984848,0.000000,0.000000,0.007576,0.000000,0.000000,0.007576,132
KULON PROGO,0.988636,0.000000,0.000000,0.011364,0.000000,0.000000,0.000000,88
KUNINGAN,0.941489,0.000000,0.002660,0.018617,0.000000,0.037234,0.000000,376
KUPANG,0.986842,0.000000,0.000000,0.013158,0.000000,0.000000,0.000000,228
